PROBE_ID chr BP gene_name
ENSG00000180228.8 chr2 179296141 PRKRA
ENSG00000116095.5 chr2 179345195 PLEKHA3
ENSG00000187231.9 chr2 179966419 SESTD1
ENSG00000163510.9 chr2 180809603 CWC22
ENSG00000170035.11 chr2 181845103 UBE2E3
ENSG00000115232.9 chr2 182321952 ITGA4
ENSG00000188452.9 chr2 182401403 CERKL
ENSG00000138434.12 chr2 182756682 SSFA2
ENSG00000077232.11 chr2 183580999 DNAJC10
ENSG00000162999.8 chr2 183943487 DUSP19
ENSG00000163002.8 chr2 183989083 NUP35
ENSG00000240857.1 chr2 18735989 RDH14
ENSG00000065548.13 chr2 187350883 ZC3H15
ENSG00000138448.7 chr2 187454792 ITGAV
ENSG00000064989.8 chr2 188207856 CALCRL
ENSG00000115368.5 chr2 190306159 WDR75
ENSG00000138449.6 chr2 190425305 SLC40A1
ENSG00000138381.5 chr2 190526146 ASNSD1
ENSG00000128694.7 chr2 190611386 OSGEPL1
ENSG00000128699.9 chr2 190636038 ORMDL1
ENSG00000064933.12 chr2 190649107 PMS1
ENSG00000151689.8 chr2 191208296 INPP1
ENSG00000198130.10 chr2 191069360 HIBCH
ENSG00000151690.10 chr2 191273081 MFSD6
ENSG00000138386.12 chr2 191513959 NAB1
ENSG00000115419.8 chr2 191745553 GLS
ENSG00000115415.14 chr2 191833760 STAT1
ENSG00000138378.13 chr2 191894306 STAT4
ENSG00000173559.7 chr2 192542862 NABP1
ENSG00000168497.4 chr2 192699028 SDPR
ENSG00000196950.9 chr2 196521852 SLC39A10
ENSG00000081320.6 chr2 196998290 STK17B
ENSG00000138411.5 chr2 197063977 HECW2
ENSG00000119041.6 chr2 197627756 GTF3C3
ENSG00000065413.12 chr2 197964201 ANKRD44
ENSG00000115520.4 chr2 198318147 COQ10B
ENSG00000115540.10 chr2 198380556 MOB4
ENSG00000115524.10 chr2 198256698 SF3B1
ENSG00000247626.3 chr2 198570087 MARS2
ENSG00000152430.13 chr2 198591603 BOLL
ENSG00000115896.11 chr2 198669426 PLCL1
ENSG00000162972.6 chr2 200820040 C2orf47
ENSG00000178074.5 chr2 200775979 C2orf69
ENSG00000068697.6 chr2 20232411 LAPTM4A
ENSG00000183891.5 chr2 20096514 TTC32
ENSG00000196141.7 chr2 201170874 SPATS2L
ENSG00000163535.13 chr2 201390880 SGOL2
ENSG00000155729.8 chr2 201353675 KCTD18
ENSG00000082153.13 chr2 201676269 BZW1
ENSG00000013441.11 chr2 201717732 CLK1
ENSG00000240344.4 chr2 201735679 PPIL3
ENSG00000196290.10 chr2 201754111 NIF3L1
ENSG00000155744.4 chr2 201843772 FAM126B
ENSG00000119013.4 chr2 201936462 NDUFB3
ENSG00000003402.14 chr2 201980827 CFLAR
ENSG00000115942.4 chr2 201773696 ORC2
ENSG00000003400.10 chr2 202047604 CASP10
ENSG00000064012.17 chr2 202125223 CASP8
ENSG00000115993.7 chr2 202241930 TRAK2
ENSG00000082146.8 chr2 202316392 STRADB
ENSG00000003393.10 chr2 202565277 ALS2
ENSG00000155755.14 chr2 202484907 TMEM237
ENSG00000155760.1 chr2 202899310 FZD7
ENSG00000238317.1 chr2 203157772 SNORD11
ENSG00000055044.6 chr2 203130439 NOP58
ENSG00000116030.12 chr2 203070903 SUMO1
ENSG00000204217.8 chr2 203241659 BMPR2
ENSG00000138439.10 chr2 203499901 FAM117B
ENSG00000138442.4 chr2 203745323 WDR12
ENSG00000119004.10 chr2 204103663 CYP20A1
ENSG00000115884.6 chr2 20400560 SDC1
ENSG00000173166.13 chr2 204298405 RAPH1
ENSG00000055917.11 chr2 20448452 PUM2
ENSG00000163600.8 chr2 204801471 ICOS
ENSG00000143878.8 chr2 20646835 RHOB
ENSG00000114942.9 chr2 207024309 EEF1B2
ENSG00000183671.8 chr2 207040040 GPR1
ENSG00000114933.11 chr2 206858445 INO80D
ENSG00000023228.8 chr2 206986149 NDUFS1
ENSG00000118246.9 chr2 207630081 FASTKD2
ENSG00000118260.10 chr2 208394616 CREB1
ENSG00000144401.10 chr2 208476828 METTL21A
ENSG00000035115.17 chr2 218158 SH3YL1
ENSG00000163249.5 chr2 208576264 CCNYL1
ENSG00000163251.3 chr2 208627310 FZD5
ENSG00000118961.10 chr2 20884818 C2orf43
ENSG00000138413.9 chr2 209100951 IDH1
ENSG00000144406.13 chr2 210636763 UNC80
ENSG00000197713.10 chr2 210867289 RPE
ENSG00000144445.11 chr2 210886147 KANSL1L
ENSG00000115365.7 chr2 211295973 LANCL1
ENSG00000168530.11 chr2 211154874 MYL1
ENSG00000030419.12 chr2 213864429 IKZF2
ENSG00000138376.6 chr2 215590370 BARD1
ENSG00000138363.10 chr2 216176540 ATIC
ENSG00000115425.9 chr2 216903132 PECR
ENSG00000079246.11 chr2 216974020 XRCC5
ENSG00000138375.8 chr2 217277137 SMARCAL1
ENSG00000197756.5 chr2 217362912 RPL37A
ENSG00000180871.3 chr2 218990727 CXCR2
ENSG00000163466.11 chr2 219081933 ARPC2
ENSG00000179921.10 chr2 219125738 GPBAR1
ENSG00000127838.9 chr2 219135208 PNKD
ENSG00000018280.12 chr2 219246752 SLC11A1
ENSG00000144579.3 chr2 219264478 CTDSP1
ENSG00000135913.6 chr2 219314974 USP37
ENSG00000127837.5 chr2 219128852 AAMP
ENSG00000135926.8 chr2 219138915 TMBIM1
ENSG00000144580.9 chr2 219433303 RQCD1
ENSG00000074582.8 chr2 219524379 BCS1L
ENSG00000163482.7 chr2 219536749 STK36
ENSG00000135912.6 chr2 219575598 TTLL4
ENSG00000135929.4 chr2 219646479 CYP27A1
ENSG00000163481.3 chr2 219528587 RNF25
ENSG00000115649.11 chr2 220036619 CNPPD1
ENSG00000144567.6 chr2 220042939 FAM134A
ENSG00000158552.8 chr2 220071515 ZFAND2B
ENSG00000163516.9 chr2 220094479 ANKZF1
ENSG00000115661.9 chr2 220110177 STK16
ENSG00000135924.11 chr2 220143989 DNAJB2
ENSG00000123992.14 chr2 220238268 DNPEP
ENSG00000144591.13 chr2 220363623 GMPPA
ENSG00000115657.8 chr2 220074490 ABCB6
ENSG00000198925.6 chr2 220084776 ATG9A
ENSG00000163521.11 chr2 220101493 GLB1L
ENSG00000123989.9 chr2 220403669 CHPF
ENSG00000127824.9 chr2 220114433 TUBA4A
ENSG00000144589.16 chr2 220462596 STK11IP
ENSG00000116120.8 chr2 223435255 FARSB
ENSG00000123983.9 chr2 223725652 ACSL3
ENSG00000135900.3 chr2 224822121 MRPL44
ENSG00000085449.10 chr2 224740064 WDFY1
ENSG00000124019.9 chr2 225243415 FAM124B
ENSG00000135905.14 chr2 225629807 DOCK10
ENSG00000144468.12 chr2 227700652 RHBDD1
ENSG00000168958.15 chr2 228192228 MFF
ENSG00000173744.12 chr2 228336878 AGFG1
ENSG00000153823.14 chr2 229888690 PID1
ENSG00000153827.9 chr2 230628554 TRIP12
ENSG00000135899.12 chr2 231033634 SP110
ENSG00000079263.14 chr2 231090479 SP140
ENSG00000185404.12 chr2 231191899 SP140L
ENSG00000067066.12 chr2 231280981 SP100
ENSG00000135932.6 chr2 231577560 CAB39
ENSG00000135916.11 chr2 231729695 ITM2C
ENSG00000173692.8 chr2 231921578 PSMD1
ENSG00000187514.10 chr2 232573226 PTMA
ENSG00000115053.11 chr2 232318242 NCL
ENSG00000144524.13 chr2 232651124 COPS7B
ENSG00000156973.9 chr2 232597135 PDE6D
ENSG00000144535.15 chr2 232826293 DIS3L2
ENSG00000163283.6 chr2 233243244 ALPP
ENSG00000163295.4 chr2 233320833 ALPI
ENSG00000135930.9 chr2 233414762 EIF4E2
ENSG00000204120.10 chr2 233562041 GIGYF2
ENSG00000085978.17 chr2 234160352 ATG16L1
ENSG00000130561.12 chr2 234216467 SAG
ENSG00000077044.5 chr2 234263153 DGKD
ENSG00000167165.13 chr2 234601512 UGT1A6
ENSG00000243135.1 chr2 234637754 UGT1A3
ENSG00000188042.5 chr2 235401685 ARL4C
ENSG00000130147.11 chr2 235860617 SH3BP4
ENSG00000144476.5 chr2 237478284 ACKR3
ENSG00000198612.6 chr2 237993955 COPS8
ENSG00000124831.14 chr2 238600859 LRRFIP1
ENSG00000184182.14 chr2 238875597 UBE2F
ENSG00000132330.12 chr2 238969530 SCLY
ENSG00000144485.6 chr2 239146911 HES6
ENSG00000132323.4 chr2 239079042 ILKAP
ENSG00000132326.7 chr2 239152679 PER2
ENSG00000119778.10 chr2 23971534 ATAD2B
ENSG00000068024.12 chr2 239969864 HDAC4
ENSG00000173960.8 chr2 24163289 UBXN2A
ENSG00000130414.7 chr2 240896789 NDUFA10
ENSG00000163026.7 chr2 24252210 C2orf44
ENSG00000188542.5 chr2 241499471 DUSP28
ENSG00000142327.6 chr2 241508104 RNPEPL1
ENSG00000178623.7 chr2 241564662 GPR35
ENSG00000184945.9 chr2 241631262 AQP12A
ENSG00000119782.9 chr2 24272584 FKBP1B
ENSG00000144504.11 chr2 241418839 ANKMY1
ENSG00000185176.8 chr2 241615855 AQP12B
ENSG00000115685.10 chr2 242089437 PPP1R7
ENSG00000172478.13 chr2 241826079 C2orf54
ENSG00000168385.13 chr2 242254704 SEPT2
ENSG00000115687.9 chr2 242045514 PASK
ENSG00000006607.8 chr2 242295658 FARP2
ENSG00000176720.3 chr2 242498136 BOK
ENSG00000168397.12 chr2 242577027 ATG4B
ENSG00000115677.12 chr2 242168627 HDLBP
ENSG00000168395.10 chr2 242641455 ING5
ENSG00000180902.12 chr2 242673994 D2HGDH
ENSG00000115694.10 chr2 242434432 STK25
ENSG00000115128.6 chr2 24290454 SF3B14
ENSG00000115129.9 chr2 24300303 TP53I3
ENSG00000198399.10 chr2 24425733 ITSN2
ENSG00000176732.6 chr2 24338241 PFN4
ENSG00000084676.11 chr2 24807346 NCOA1
ENSG00000184924.4 chr2 25012855 PTRHD1
ENSG00000138031.10 chr2 25042038 ADCY3
ENSG00000115137.7 chr2 25166505 DNAJC27
ENSG00000084710.9 chr2 25264999 EFR3B
ENSG00000115138.6 chr2 25383722 POMC
ENSG00000143727.11 chr2 264900 ACP1
ENSG00000119772.12 chr2 25504321 DNMT3A
ENSG00000143970.12 chr2 25960561 ASXL2
ENSG00000084733.6 chr2 26256979 RAB10
ENSG00000138029.9 chr2 26467763 HADHB
ENSG00000084754.6 chr2 26413504 HADHA
ENSG00000115155.12 chr2 26680071 OTOF
ENSG00000171303.5 chr2 26915619 KCNK3
ENSG00000213699.4 chr2 26987156 SLC35F6
ENSG00000157851.12 chr2 27070969 DPYSL5
ENSG00000084764.6 chr2 27193526 MAPRE3
ENSG00000119777.14 chr2 27255822 TMEM214
ENSG00000084693.11 chr2 27274546 AGBL5
ENSG00000138030.8 chr2 27309615 KHK
ENSG00000138074.10 chr2 27422455 SLC5A6
ENSG00000138085.12 chr2 27434895 ATRAID
ENSG00000084774.9 chr2 27440258 CAD
ENSG00000138073.9 chr2 27353624 PREB
ENSG00000115211.11 chr2 27587219 EIF2B4
ENSG00000115234.6 chr2 27593389 SNX17
ENSG00000115194.6 chr2 27477440 SLC30A3
ENSG00000115216.9 chr2 27651507 NRBP1
ENSG00000163794.6 chr2 27530268 UCN
ENSG00000115204.10 chr2 27532362 MPV17
ENSG00000115207.9 chr2 27548723 GTF3C2
ENSG00000163795.9 chr2 27600098 ZNF513
ENSG00000223361.5 chr5 17353804 FTH1P10
ENSG00000115241.9 chr2 27604061 PPM1G
ENSG00000243943.5 chr2 27805897 ZNF512
ENSG00000176714.9 chr2 27848506 CCDC121
ENSG00000198522.8 chr2 27851863 GPN1
ENSG00000163798.9 chr2 27886338 SLC4A1AP
ENSG00000243147.3 chr2 27994584 MRPL33
ENSG00000171174.9 chr2 28004231 RBKS
ENSG00000158019.16 chr2 28113617 BRE
ENSG00000075426.7 chr2 28615725 FOSL2
ENSG00000163803.8 chr2 28718938 PLB1
ENSG00000213639.5 chr2 28974614 PPP1CB
ENSG00000189350.8 chr2 29204164 FAM179A
ENSG00000115295.15 chr2 29338292 CLIP4
ENSG00000171094.11 chr2 29415640 ALK
ENSG00000119801.8 chr2 30369827 YPEL5
ENSG00000213626.7 chr2 30454397 LBH
ENSG00000172954.9 chr2 30670123 LCLAT1
ENSG00000032389.8 chr2 3192696 TSSC1
ENSG00000162959.8 chr2 32092878 MEMO1
ENSG00000021574.7 chr2 32288776 SPAST
ENSG00000162961.9 chr2 32249171 DPY30
ENSG00000152683.10 chr2 32390933 SLC30A6
ENSG00000119820.5 chr2 32502979 YIPF4
ENSG00000091106.14 chr2 32449522 NLRC4
ENSG00000115760.9 chr2 32582096 BIRC6
ENSG00000018699.7 chr2 32853129 TTC27
ENSG00000239649.2 chr2 33951128 MYADML
ENSG00000119812.14 chr2 33808737 FAM98A
ENSG00000171853.11 chr2 3383457 TRAPPC12
ENSG00000182551.9 chr2 3501132 ADI1
ENSG00000171865.5 chr2 3592705 RNASEH1
ENSG00000171863.8 chr2 3622795 RPS7
ENSG00000171055.10 chr2 36779437 FEZ2
ENSG00000115808.7 chr2 37070783 STRN
ENSG00000055332.11 chr2 37333699 EIF2AK2
ENSG00000008869.7 chr2 37208040 HEATR5B
ENSG00000003509.11 chr2 37458809 NDUFAF7
ENSG00000115816.9 chr2 37428755 CEBPZ
ENSG00000115828.11 chr2 37571717 QPCT
ENSG00000115825.5 chr2 37477648 PRKD3
ENSG00000163171.6 chr2 37869032 CDC42EP3
ENSG00000138061.7 chr2 38294652 CYP1B1
ENSG00000119787.9 chr2 38522022 ATL2
ENSG00000143889.10 chr2 38789120 HNRNPLL
ENSG00000143891.12 chr2 38893052 GALM
ENSG00000115875.14 chr2 38970741 SRSF7
ENSG00000152147.5 chr2 39005327 GEMIN6
ENSG00000115904.8 chr2 39208694 SOS1
ENSG00000163214.16 chr2 39024871 DHX57
ENSG00000011566.9 chr2 39476407 MAP4K3
ENSG00000138050.10 chr2 39963445 THUMPD2
ENSG00000143924.14 chr2 42396490 EML4
ENSG00000115944.10 chr2 42577647 COX7A2L
ENSG00000057935.9 chr2 42795657 MTA3
ENSG00000162882.10 chr2 42994229 HAAO
ENSG00000162881.5 chr2 42989642 OXER1
ENSG00000152518.5 chr2 43449541 ZFP36L2
ENSG00000115970.14 chr2 43457975 THADA
ENSG00000138036.14 chr2 44001178 DYNC2LI1
ENSG00000138095.14 chr2 44113647 LRPPRC
ENSG00000138032.16 chr2 44396049 PPM1B
ENSG00000138078.11 chr2 44547966 PREPL
ENSG00000143919.10 chr2 44589103 CAMKMT
ENSG00000068784.8 chr2 45615819 SRBD1
ENSG00000171132.9 chr2 45878913 PRKCE
ENSG00000119729.6 chr2 46769867 RHOQ
ENSG00000119878.5 chr2 46844290 CRIPT
ENSG00000250565.2 chr2 46738986 ATP6V1E2
ENSG00000151665.8 chr2 46808076 PIGF
ENSG00000171150.7 chr2 46926326 SOCS5
ENSG00000180398.7 chr2 47129013 MCFD2
ENSG00000068724.11 chr2 47168313 TTC7A
ENSG00000143933.11 chr2 47387221 CALM2
ENSG00000236824.1 chr2 47558199 BCYRN1
ENSG00000095002.8 chr2 47630108 MSH2
ENSG00000116062.9 chr2 48010221 MSH6
ENSG00000138081.15 chr2 48034059 FBXO11
ENSG00000170802.11 chr2 48541849 FOXN2
ENSG00000162869.11 chr2 48667908 PPP1R21
ENSG00000115239.17 chr2 53897456 GPR75-ASB3
ENSG00000068912.9 chr2 54014217 ERLEC1
ENSG00000068878.10 chr2 54091204 PSME4
ENSG00000170634.8 chr2 54342641 ACYP2
ENSG00000178021.9 chr2 54480315 TSPYL6
ENSG00000237887.1 chr2 54756480 AC092839.1
ENSG00000115306.11 chr2 54683422 SPTBN1
ENSG00000115310.13 chr2 55199325 RTN4
ENSG00000162994.11 chr2 55402785 CLHC1
ENSG00000143947.8 chr2 55459538 RPS27A
ENSG00000115355.11 chr2 55514978 CCDC88A
ENSG00000085760.10 chr2 55463758 MTIF2
ENSG00000138041.11 chr2 55774428 SMEK2
ENSG00000138035.10 chr2 55861400 PNPT1
ENSG00000028116.12 chr2 58273826 VRK2
ENSG00000115392.7 chr2 58386382 FANCL
ENSG00000119866.16 chr2 60684333 BCL11A
ENSG00000115421.8 chr2 60983365 PAPOLG
ENSG00000162924.8 chr2 61108656 REL
ENSG00000162927.9 chr2 61169104 PUS10
ENSG00000162928.7 chr2 61244857 PEX13
ENSG00000173209.17 chr2 61404664 AHSA2
ENSG00000115464.10 chr2 61414598 USP34
ENSG00000082898.12 chr2 61704984 XPO1
ENSG00000115484.10 chr2 62095224 CCT4
ENSG00000173163.6 chr2 62132782 COMMD1
ENSG00000170340.10 chr2 62423248 B3GNT2
ENSG00000186889.5 chr2 62727356 TMEM17
ENSG00000115504.10 chr2 62933001 EHBP1
ENSG00000014641.13 chr2 63815743 MDH1
ENSG00000169764.10 chr2 64068844 UGP2
ENSG00000143952.14 chr2 64120190 VPS54
ENSG00000197329.7 chr2 64319786 PELI1
ENSG00000119844.10 chr2 64751465 AFTPH
ENSG00000179833.3 chr2 64858755 SERTAD2
ENSG00000138069.12 chr2 65313989 RAB1A
ENSG00000138071.9 chr2 65454971 ACTR2
ENSG00000143995.15 chr2 66662532 MEIS1
ENSG00000151353.10 chr2 667335 TMEM18
ENSG00000197223.7 chr2 68269788 C1D
ENSG00000115946.3 chr2 68384976 PNO1
ENSG00000243667.2 chr2 68356935 WDR92
ENSG00000221823.5 chr2 68405989 PPP3R1
ENSG00000115956.9 chr2 68592305 PLEK
ENSG00000119865.4 chr2 68520142 CNRIP1
ENSG00000163219.7 chr2 68961913 ARHGAP25
ENSG00000183607.5 chr2 69172364 GKN2
ENSG00000198380.7 chr2 69552403 GFPT1
ENSG00000134321.7 chr2 7017796 RSAD2
ENSG00000169599.8 chr2 69622882 NFU1
ENSG00000115977.14 chr2 69694919 AAK1
ENSG00000134326.7 chr2 6988447 CMPK2
ENSG00000196975.10 chr2 69969106 ANXA4
ENSG00000087338.4 chr2 70056774 GMCL1
ENSG00000124380.6 chr2 70120692 SNRNP27
ENSG00000059728.6 chr2 70142203 MXD1
ENSG00000169564.5 chr2 70314585 PCBP1
ENSG00000116001.11 chr2 70436576 TIA1
ENSG00000116005.7 chr2 70485269 PCYOX1
ENSG00000035141.3 chr2 70523107 FAM136A
ENSG00000115998.3 chr2 70377012 C2orf42
ENSG00000143977.9 chr2 70508494 SNRPG
ENSG00000163235.11 chr2 70674412 TGFA
ENSG00000151692.10 chr2 7057523 RNF144A
ENSG00000116035.2 chr2 71127720 VAX2
ENSG00000152672.3 chr2 71035775 CLEC4F
ENSG00000144031.7 chr2 71205510 ANKRD53
ENSG00000124357.7 chr2 71295408 NAGK
ENSG00000124370.6 chr2 71336814 MCEE
ENSG00000144043.7 chr2 71213068 TEX261
ENSG00000124383.4 chr2 71357444 MPHOSPH10
ENSG00000075292.14 chr2 71558894 ZNF638
ENSG00000135636.9 chr2 71680852 DYSF
ENSG00000116096.5 chr2 73114489 SPR
ENSG00000144040.8 chr2 73169165 SFXN5
ENSG00000135631.11 chr2 73300510 RAB11FIP5
ENSG00000135624.11 chr2 73461366 CCT7
ENSG00000135617.3 chr2 73455134 PRADC1
ENSG00000116127.13 chr2 73612886 ALMS1
ENSG00000144034.10 chr2 73956957 TPRKB
ENSG00000144048.6 chr2 73989311 DUSP11
ENSG00000124356.11 chr2 74056127 STAMBP
ENSG00000114956.15 chr2 74153953 DGUOK
ENSG00000114978.12 chr2 74382165 MOB1A
ENSG00000065911.7 chr2 74425689 MTHFD2
ENSG00000163170.7 chr2 74362542 BOLA3
ENSG00000204843.8 chr2 74588282 DCTN1
ENSG00000188687.11 chr2 74443369 SLC4A5
ENSG00000005448.12 chr2 74648857 WDR54
ENSG00000115274.10 chr2 74682150 INO80B
ENSG00000239779.2 chr2 74685456 WBP1
ENSG00000204822.6 chr2 74699085 MRPL53
ENSG00000115282.15 chr2 74710216 TTC31
ENSG00000115317.7 chr2 74756504 HTRA2
ENSG00000115275.7 chr2 74688184 MOGS
ENSG00000115289.8 chr2 74732170 PCGF1
ENSG00000115307.12 chr2 74753775 AUP1
ENSG00000115318.7 chr2 74759565 LOXL3
ENSG00000159399.5 chr2 75061108 HK2
ENSG00000115350.7 chr2 75185619 POLE4
ENSG00000115364.9 chr2 75873909 MRPL19
ENSG00000163541.7 chr2 84650647 SUCLG1
ENSG00000034510.4 chr2 85132749 TMSB10
ENSG00000186854.6 chr2 85048774 TRABD2A
ENSG00000176407.12 chr2 85198216 KCMF1
ENSG00000042445.9 chr2 85569211 RETSAT
ENSG00000115459.13 chr2 85581926 ELMOD3
ENSG00000152291.9 chr2 85545150 TGOLN2
ENSG00000042493.11 chr2 85621871 CAPG
ENSG00000168906.8 chr2 85766288 MAT2A
ENSG00000115486.6 chr2 85776193 GGCX
ENSG00000118640.6 chr2 85804614 VAMP8
ENSG00000168899.4 chr2 85811531 VAMP5
ENSG00000168894.5 chr2 85822857 RNF181
ENSG00000168883.15 chr2 85843309 USP39
ENSG00000115523.12 chr2 85921414 GNLY
ENSG00000168890.9 chr2 85825685 TMEM150A
ENSG00000168887.6 chr2 85833777 C2orf68
ENSG00000168874.8 chr2 85981017 ATOH8
ENSG00000115525.12 chr2 86066267 ST3GAL5
ENSG00000132313.10 chr2 86426478 MRPL35
ENSG00000132305.16 chr2 86371055 IMMT
ENSG00000115548.12 chr2 86668271 KDM3A
ENSG00000115561.10 chr2 86732567 CHMP3
ENSG00000239305.2 chr2 86830516 RNF103
ENSG00000153561.8 chr2 86947296 RMND5A
ENSG00000153563.11 chr2 87011733 CD8A
ENSG00000183281.10 chr2 87239435 PLGLB1
ENSG00000115738.5 chr2 8822113 ID2
ENSG00000222041.6 chr2 87755015 LINC00152
ENSG00000125551.14 chr2 88047606 PLGLB2
ENSG00000134313.10 chr2 8868987 KIDINS220
ENSG00000185304.12 chr2 88056722 RGPD2
ENSG00000172086.7 chr2 88326724 KRCC1
ENSG00000153574.8 chr2 88991162 RPIA
ENSG00000172071.7 chr2 88856261 EIF2AK3
ENSG00000143797.7 chr2 8992820 MBOAT2
ENSG00000151693.5 chr2 9346894 ASAP2
ENSG00000172005.6 chr2 95691538 MAL
ENSG00000163067.10 chr2 95831183 ZNF2
ENSG00000119203.9 chr2 9563697 CPSF3
ENSG00000134330.14 chr2 9614659 IAH1
ENSG00000115042.5 chr2 96068474 FAHD2A
ENSG00000119185.8 chr2 9545813 ITGB1BP1
ENSG00000144015.4 chr2 96257766 TRIM43
ENSG00000144029.7 chr2 95752952 MRPS5
ENSG00000144026.7 chr2 95813682 ZNF514
ENSG00000158050.4 chr2 96808905 DUSP2
ENSG00000084090.9 chr2 96850597 STARD7
ENSG00000151694.8 chr2 9628615 ADAM17
ENSG00000144021.2 chr2 96931870 CIAO1
ENSG00000196843.11 chr2 97202486 ARID5A
ENSG00000114988.7 chr2 97371666 LMAN2L
ENSG00000222040.3 chr2 96778707 ADRA2B
ENSG00000168763.11 chr2 97481987 CNNM3
ENSG00000213337.4 chr2 97513722 ANKRD39
ENSG00000168758.6 chr2 97525453 SEMA4C
ENSG00000135956.3 chr2 96916312 TMEM127
ENSG00000144028.10 chr2 96940074 SNRNP200
ENSG00000134308.9 chr2 9724101 YWHAQ
ENSG00000168754.9 chr2 97541622 FAM178B
ENSG00000135940.2 chr2 98262503 COX5B
ENSG00000115073.6 chr2 98272431 ACTR1B
ENSG00000115085.9 chr2 98350869 ZAP70
ENSG00000144199.7 chr2 97749320 FAHD2B
ENSG00000144191.7 chr2 98962618 CNGA3
ENSG00000075568.12 chr2 98372803 TMEM131
ENSG00000040933.10 chr2 99061317 INPP4A
ENSG00000115446.7 chr2 99225042 UNC50
ENSG00000144182.12 chr2 99771418 LIPT1
ENSG00000185414.14 chr2 99797542 MRPL30
ENSG00000183513.4 chr2 99215773 COA5
ENSG00000071073.7 chr2 99235569 MGAT4A
ENSG00000158417.5 chr2 99953816 EIF5B
ENSG00000196872.6 chr2 99410309 KIAA1211L
ENSG00000115750.12 chr2 9983483 TAF1B
ENSG00000158411.6 chr2 99785726 MITD1
ENSG00000115514.7 chr2 99935445 TXNDC9
ENSG00000125037.8 chr3 10004221 EMC3
ENSG00000114354.8 chr3 100428269 TFG
ENSG00000186162.6 chr3 10059181 CIDECP
ENSG00000144554.6 chr3 10068113 FANCD2
ENSG00000168386.14 chr3 99566772 FILIP1L
ENSG00000174173.6 chr3 101280706 TRMT10C
ENSG00000081154.7 chr3 101292939 PCNP
ENSG00000254999.2 chr3 10157276 BRK1
ENSG00000036054.8 chr3 99979845 TBC1D23
ENSG00000114021.6 chr3 100053545 NIT2
ENSG00000154174.7 chr3 100082275 TOMM70A
ENSG00000144802.7 chr3 101568358 NFKBIZ
ENSG00000134086.7 chr3 10182692 VHL
ENSG00000138468.11 chr3 101043117 SENP7
ENSG00000134070.4 chr3 10206549 IRAK2
ENSG00000066422.4 chr3 101367733 ZBTB11
ENSG00000114391.8 chr3 101399936 RPL24
ENSG00000157014.6 chr3 10289707 TATDN2
ENSG00000144815.9 chr3 101498074 NXPE3
ENSG00000157017.11 chr3 10327435 GHRL
ENSG00000157020.13 chr3 10342615 SEC13
ENSG00000170017.8 chr3 105085753 ALCAM
ENSG00000114423.14 chr3 105374305 CBLB
ENSG00000163519.9 chr3 108541545 TRAT1
ENSG00000114439.14 chr3 107241783 BBX
ENSG00000196776.10 chr3 107762146 CD47
ENSG00000114446.4 chr3 107879659 IFT57
ENSG00000153283.8 chr3 111260856 CD96
ENSG00000138459.4 chr3 112280857 SLC35A5
ENSG00000163607.10 chr3 112709765 GTPBP8
ENSG00000196639.6 chr3 11294385 HRH1
ENSG00000144827.4 chr3 111697882 ABHD10
ENSG00000072858.6 chr3 113251143 SIDT1
ENSG00000114573.5 chr3 113465866 ATP6V1A
ENSG00000186265.5 chr3 112182815 BTLA
ENSG00000144848.6 chr3 112251356 ATG3
ENSG00000151576.6 chr3 113775584 QTRTD1
ENSG00000163606.6 chr3 112647765 CD200R1
ENSG00000121579.7 chr3 113437841 NAA50
ENSG00000151577.8 chr3 113847557 DRD3
ENSG00000174255.5 chr3 113953487 ZNF80
ENSG00000181722.11 chr3 114057517 ZBTB20
ENSG00000197548.8 chr3 11314102 ATG7
ENSG00000144560.9 chr3 11597544 VGLL4
ENSG00000185565.6 chr3 115528941 LSAMP
ENSG00000144559.6 chr3 11831916 TAMM41
ENSG00000113845.5 chr3 119217379 TIMMDC1
ENSG00000144843.7 chr3 119298523 ADPRH
ENSG00000144847.8 chr3 118619474 IGSF11
ENSG00000121578.8 chr3 118930589 B4GALT4
ENSG00000031081.6 chr3 119013220 ARHGAP31
ENSG00000176142.8 chr3 119148347 TMEM39A
ENSG00000163389.6 chr3 119187785 POGLUT1
ENSG00000138495.2 chr3 119388118 COX17
ENSG00000082701.10 chr3 119540170 GSK3B
ENSG00000175697.6 chr3 119884328 GPR156
ENSG00000163428.3 chr3 120043356 LRRC58
ENSG00000145088.4 chr3 121554062 EAF2
ENSG00000114013.11 chr3 121796750 CD86
ENSG00000144840.4 chr3 120405528 RABL3
ENSG00000153767.5 chr3 120461579 GTF2E1
ENSG00000121552.3 chr3 122044091 CSTA
ENSG00000114023.11 chr3 122103029 FAM162A
ENSG00000051341.9 chr3 121150278 POLQ
ENSG00000180353.6 chr3 121350246 HCLS1
ENSG00000173230.11 chr3 121382046 GOLGB1
ENSG00000173226.12 chr3 121488841 IQCB1
ENSG00000160124.5 chr3 122078438 CCDC58
ENSG00000196981.2 chr3 122130715 WDR5B
ENSG00000114030.8 chr3 122140796 KPNA1
ENSG00000138496.12 chr3 122246806 PARP9
ENSG00000163840.5 chr3 122283085 DTX3L
ENSG00000173193.9 chr3 122399465 PARP14
ENSG00000138463.8 chr3 122513642 DIRC2
ENSG00000132170.15 chr3 12392971 PPARG
